Company Name,Date,Rating Type,Agency,Curr Rtg,Last Rtg,Ctry,Industry Type,Security Name
Angola Treasury Bill,7/12/2011,Foreign Currency LT Debt,S&P,BB- ,B+ ,AO,Sovereigns,
Angola Treasury Bill,5/19/2010,Foreign Currency LT Debt,S&P,B+ ,,AO,Sovereigns,
Angola Treasury Bill,2/28/2011,Foreign Currency LT Debt,Moody's,B1 *+,B1 ,AO,Sovereigns,
Angola Treasury Bill,5/19/2010,Foreign Currency LT Debt,Moody's,B1 ,,AO,Sovereigns,
Angola Treasury Bill,6/3/2011,Foreign Currency LT Debt,Moody's,Ba3 ,B1 *+,AO,Sovereigns,
Angola Treasury Bill,8/8/2014,Foreign Currency LT Debt,Moody's,Ba2 ,Ba3 ,AO,Sovereigns,
Argentine Republic,7/30/2014,Foreign Currency LT Debt,S&P,SDu ,CCC-u *-,AR,Sovereigns,1310Z AR Equity
Argentina Government Bond,10/2/2006,Foreign Currency LT Debt,S&P,B+ ,B ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,9/13/2010,Foreign Currency LT Debt,S&P,B ,B- ,AR,Sovereigns,EC009480 Corp
Argentine Republic,11/1/2000,Foreign Currency LT Debt,S&P,BB *-,BB ,AR,Sovereigns,1310Z AR Equity
Argentina Government Bond,7/1/2014,Foreign Currency LT Debt,S&P,CCC-u *-,CCC-u ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,10/30/2001,Foreign Currency LT Debt,S&P,CC ,CCC+ ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,10/9/2001,Foreign Currency LT Debt,S&P,CCC+ ,B- ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,11/6/2001,Foreign Currency LT Debt,S&P,SD ,CC ,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,6/6/2001,Foreign Currency LT Debt,S&P,B ,B *-,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,5/8/2001,Foreign Currency LT Debt,S&P,B *-,B+ *-,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,11/14/2000,Foreign Currency LT Debt,S&P,BB- ,BB *-,AR,Sovereigns,EC009480 Corp
Argentina Government Bond,3/26/2001,Foreign Currency LT Debt,S&P,B+ *-,BB- *-,AR,Sovereigns,EC009480 Corp
