"iso2c","year","GDPpercap","GDPgrowth","inflation_cpi","inflation_def","development","GNIpercap","export","currentaccount","budget","ext_debt","currency_debt","country","current_account_WEO","fiscal_balance_WEO"
"1A",2014,NA,NA,NA,NA,4.22,NA,NA,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2013,2853079422136.26,3.35213598160611,3.16040956767251,2.42723308765986,4.36666666666667,NA,1543967962316.01,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2012,2744380705807.86,6.19641037910736,4.76795034560587,4.79777597475045,4.47142857142857,7196.53273639369,1550506485391.57,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2011,2487905323871.43,3.32891573127449,4.753163888857,15.1067503187946,4.46,6305.64406388715,1422063700767.72,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2010,2097884309178.57,5.24000221402568,3.96996011162696,11.0845896814543,4.53264282761333,5913.74479400922,1037093374264.73,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2009,1791752937021.76,1.74133895607771,2.92089711805366,-7.28145349054336,4.40227276191429,5640.07546461051,845658425884.743,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2008,2079570726698.25,6.20606502142331,11.2706652380848,14.8987372148521,4.18694833818134,5546.40624407302,1195453030905.1,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2007,1638668684413.22,5.70870736496498,4.965976545533,6.39534430529028,4.11252055826025,4730.93960579129,893940054917.164,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2006,1399822842753.85,7.20380260248655,3.876850650419,8.84253162170717,NA,4112.09515614157,767284549489.784,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2005,1176100113380.11,6.14483323282988,3.47108408964077,13.7349909637599,NA,3497.48312518786,628004123978.076,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2004,959405027973.279,9.12313975254509,3.63228004956626,10.849954194096,NA,3035.76807698685,465245535124.814,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2003,815538537451.947,5.2132827385677,2.71259247474352,5.11161321735516,NA,2642.99765530042,350113130208.007,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2002,724009906451.922,1.79154456529329,1.83299389002032,3.56464227551491,NA,2466.77931049871,280098681145.012,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2001,713007194293.451,2.27702452263856,1.77220437351033,0.779777814697894,NA,2472.83129971528,268967595840.052,NA,NA,NA,NA,"Arab World",NA,NA
"1A",2000,726012626496.09,5.06744874932264,1.85379035325276,10.4423450381486,NA,2388.34288271471,291230816743.337,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1999,634118560164.927,2.28557103792578,2.66937369053694,6.62704114622349,NA,2285.17467126742,208031346256.863,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1998,587494764658.919,4.91388167872202,3.41731948975798,-1.71524486837819,NA,2298.36519331938,173016526611.679,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1997,609294244548.589,4.88556996319672,3.60116103260956,2.23656665980389,NA,2307.48976295542,221746394865.02,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1996,574468177972.353,4.78238159165041,4.68130623916412,6.21530162039107,NA,2218.54598704975,214993902298.734,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1995,520049266412.833,2.72599735605048,6.54379068524172,7.22562186315107,NA,2112.06208567286,186074464113.556,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1994,484261108054.452,3.53530298425954,5.11259890444313,7.8900302309962,NA,2073.08433816307,163015361340.86,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1993,473299323399.973,3.61380935153342,9.37034415971458,4.5456655815093,NA,2090.63098194459,161866253275.87,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1992,467834483649.374,4.74986126902743,9.35975158953137,5.11898581864023,NA,2177.98196294731,171782779450.072,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1991,436805584500.833,1.39681678441535,9.00000000000003,7.61051703436539,NA,2096.83314730574,156419611438.649,NA,NA,NA,NA,"Arab World",NA,NA
"1A",1990,443859896964.664,9.72308376242393,8.45146240803882,14.2827783854205,NA,2057.90019619985,164059501131.137,NA,NA,NA,NA,"Arab World",NA,NA
"S3",2014,NA,NA,NA,NA,4.46,NA,NA,NA,NA,NA,NA,"Caribbean small states",NA,NA
"S3",2013,67033118185.1864,1.50299153341234,1.05949782356178,1.7097173291289,4.62,8641.39907748684,29919229561.2016,NA,NA,NA,NA,"Caribbean small states",NA,NA
"S3",2012,65360347413.8184,1.37078584205194,2.59844414147122,2.57132656477677,4.56,8388.98990497907,27479948481.2114,NA,NA,NA,NA,"Caribbean small states",NA,NA
"S3",2011,64008052113.8963,0.0167746513576361,3.45674967234602,3.23993748470626,4.38333333333333,8077.51932507501,28915442485.7045,NA,NA,NA,NA,"Caribbean small states",NA,NA
"S3",2010,59375034444.9625,0.577383022371919,3.37002540220148,1.3660020686268,4.677734832325,8408.07237155934,24819832907.3988,NA,-3.46665746056699,NA,NA,"Caribbean small states",NA,NA
"S3",2009,56145294968.5054,-3.7286083529569,0.42153912568692,1.79109524503448,4.25513011822,8609.38711566393,23048025764.2251,NA,-5.40266232480969,NA,NA,"Caribbean small states",NA,NA
"S3",2008,66698700872.5015,1.80934320768533,8.03225579266176,3.12541316256039,3.98199511883857,9117.25119025606,36513130759.0453,NA,-1.39855373344814,NA,NA,"Caribbean small states",NA,NA
"S3",2007,58438689570.0527,3.68654791075376,4.03422982885071,4.8452701708882,3.84526664207624,8205.23890966332,29451014095.3622,NA,-1.59974821470697,NA,NA,"Caribbean small states",NA,NA
"S3",2006,52490948176.4208,8.38500479159114,4.25604929421787,4.56826887845509,NA,7419.00488380058,29355701494.7688,NA,-0.421883411281101,NA,NA,"Caribbean small states",NA,NA
"S3",2005,46587144814.1829,4.567923257383,3.73342916466986,4.85625551276669,NA,6606.36963632366,23319924633.6354,NA,1.67934897864653,NA,NA,"Caribbean small states",NA,NA
"S3",2004,40770535976.8498,5.01540315844824,2.39410982050339,3.58232374624537,NA,6008.43133471459,19016959948.2775,NA,-1.16235122161901,NA,NA,"Caribbean small states",NA,NA
"S3",2003,37422356830.3295,7.00813949577113,2.23543664374553,0.538770625491445,NA,5324.75170489244,16522979683.1175,NA,-0.920372689789442,NA,NA,"Caribbean small states",NA,NA
"S3",2002,34952635480.1792,4.58550526067924,2.17357792508093,1.07299704699036,NA,4806.64336585405,14596123257.9561,NA,-2.05813526342865,NA,NA,"Caribbean small states",NA,NA
