"agency","iso2c","year","country","ratings.x","ratings_prior","lag_cds","lag_GNIpercap","ma_GDPgrowth","ma_inflation_cpi","ma_inflation_def","lag_currentaccount","lag_current_account_WEO","ma_budget","ma_fiscal_balance_WEO","external_debt","ext_debt_2","lag_export","dflt","port","dvlp_port","dvlp_wb","ratings.y","ratings"
"Moody's","AR",2006,"Argentina","Caa1 ","B3 *-",NA,NA,4.04265456707611,NA,9.68053164686792,2.36589097973412,2.127,-1.60719717241749,-2.49866666666667,277.384560967274,128185988000,46595960333.6572,1,NA,0,0,"B3","B3"
"Moody's","AR",2007,"Argentina","Caa1 ","B3 *-",273.775395256917,5579,8.85725687084268,NA,11.2765805220676,2.93661339052263,2.726,-0.385026301859219,-1.56433333333333,197.53713391023,119063654000,54040472232.6853,1,3.20128981912079,0,0,"B3","B3"
"Moody's","AR",2008,"Argentina","Caa1 ","B3 *-",292.255854716581,6632,8.6487194238411,NA,14.5140883907043,2.23020287224299,2.044,NA,-1.32533333333333,182.269785729091,120989168000,65424995987.6741,1,3.33221705362263,0,0,"B3","B3"
"Moody's","AR",2009,"Argentina","Caa1 ","B3 *-",686.570022835507,8287,7.16685440724452,NA,18.0452774416771,1.66398962300661,1.484,NA,-1.068,159.921526457606,122986505000,80820889384.3089,1,3.6402897114,1,0,"B3","B3"
"Moody's","AR",2010,"Argentina","Caa1 ","B3 *-",1353.95935903192,10101,4.87986035710773,NA,16.2454957552862,2.20281215671654,2.002,NA,-1.759,185.29264281735,127742628000,65841793902.3409,1,3.7615393942,1,0,"B3","B3"
"Moody's","AR",2011,"Argentina","Caa1 ","B3 *-",1546.92052250574,9282,5.07293975986468,NA,16.2039708656403,0.293842905653894,-0.257,NA,-1.56433333333333,156.84698477243,120791279000,80970635287.8029,1,3.7,1,0,"B3","B3"
"Moody's","AR",2012,"Argentina","Caa1 ","B3 *-",1304.52069127616,11227,5.21094520018028,NA,14.8675908966833,-0.407185004175475,-0.739,NA,-2.26,142.14858313191,132742686000,99191984115.0689,1,3.6,1,1,"B3","B3"
"Moody's","AT",2006,"Austria",NA,NA,NA,38500,1.81460915935892,1.90717838488786,1.89029879049668,1.98481590158559,2.044,-2.77927406605506,-2.67466666666667,335.430225055404,NA,153012448390.787,0,NA,0,1,"Aaa","Aaa"
"Moody's","AT",2007,"Austria",NA,NA,3.68774193548387,41260,2.23835435428493,1.93853749357669,2.09007917361114,2.70484453469586,2.78,-2.69908581132649,-2.68133333333333,353.094494042675,NA,169926184101.722,0,4.97,1,1,"Aaa","Aaa"
"Moody's","AT",2008,"Austria",NA,NA,3.9083399942906,44170,2.95469199568106,1.9743277943805,2.24284322543041,3.41308047969009,3.512,-1.51327337184299,-1.49033333333333,376.929357508122,NA,202823151015.38,0,5.00629728743169,1,1,"Aaa","Aaa"
"Moody's","AT",2009,"Austria",NA,NA,16.415223172459,48700,2.6650715934527,2.27804605492901,1.99314713231661,4.70672428285057,4.837,-1.22463263910245,-1.22433333333333,387.584926064841,NA,227305021623.213,0,4.9823995187,1,1,"Aaa","Aaa"
"Moody's","AT",2010,"Austria",NA,NA,52.4881367801714,48580,1.18013185305588,1.96361074089015,1.99177262438019,2.5884576787838,2.675,-1.715855164729,-2.04066666666667,466.265766263626,NA,178492623781.744,0,4.7826962317,1,1,"Aaa","Aaa"
"Moody's","AT",2011,"Austria",NA,NA,77.7809134955502,49180,0.812447850593343,1.84525606689627,1.54279649257015,3.37455234005863,3.475,-2.4135969907535,-3.20866666666667,407.649262560284,NA,197535007163.399,0,4.7,1,1,"Aaa","Aaa"
"Moody's","AT",2012,"Austria",NA,NA,101.83781452162,50330,0.674927463420168,1.86226215063949,1.53348679155923,1.54046259953127,1.588,-2.76132785856203,-3.68733333333333,368.915630291632,NA,230269451941.752,0,4.9,1,1,"Aaa","Aaa"
"Moody's","AU",2008,"Australia","Aaa ","Aa2 ",NA,37330,3.53096598189612,2.84652721233071,4.58378717808607,-7.51815252573139,-6.693,1.53654413924864,1.62433333333333,444.693503471693,NA,169723639789.589,0,4.77188910148113,1,1,"Aaa","Aaa"
"Moody's","AU",2009,"Australia","Aaa ","Aa2 ",77.4026315789474,42380,3.4173929921794,3.40783069871835,4.85962313297465,-4.94029415027016,-4.868,1.75420069789359,0.672666666666667,418.113366749447,NA,208376500080.203,0,4.6486865,1,1,"Aaa","Aaa"
"Moody's","AU",2010,"Australia","Aaa ","Aa2 ",79.2358917894737,44000,3.04623063727471,2.83503899927396,4.81869139332583,-5.27899067709773,-4.611,0.367306964319687,-1.43566666666667,441.174881295142,NA,208704085168.445,0,4.8610048366,1,1,"Aaa","Aaa"
"Moody's","AU",2011,"Australia","Aaa ","Aa2 ",69.0198218570949,46490,2.78915526812516,3.00599372110014,3.49664319696713,-3.91794525805502,-3.572,-1.52096257698364,-3.61266666666667,494.156629997151,NA,222095573220.646,0,5.1,1,1,"Aaa","Aaa"
"Moody's","AU",2012,"Australia","Aaa ","Aa2 ",65.2249074846252,50060,2.42948896828108,2.68489247836477,4.04726681583947,-3.20768229051707,-2.989,-3.38224003283289,-4.724,435.580785431894,NA,293860528932.844,0,5.1,1,1,"Aaa","Aaa"
"Moody's","BE",2006,"Belgium",NA,NA,NA,37630,1.94446379702026,2.15635290980416,2.1460884343708,1.99062592169985,1.975,-0.980383907466082,-1.01466666666667,349.724956791624,NA,285367109386.659,0,NA,0,1,"Aa1","Aa1"
"Moody's","BE",2007,"Belgium",NA,NA,3.54974166666667,39890,2.21216950168941,2.22239430222056,2.35325561372994,1.83723439771763,1.86,-0.90433681278801,-0.850333333333333,343.484371949505,NA,310785609820.097,0,6.38395590712664,1,1,"Aa1","Aa1"
"Moody's","BE",2008,"Belgium",NA,NA,4.15914298523207,42630,2.73977737364156,2.13279772442122,2.40061207829663,1.49090570402712,1.892,-1.03604074288593,-0.802,374.887742557386,NA,366109596071.924,0,6.30162436545894,1,1,"Aa1","Aa1"
