agency,country,iso2c,year,ratings,ratings_prior,spreadCDS,GNIpercap,GDPgrowth,inflation_cpi,inflation_def,currentaccount,current_account_WEO,budget,fiscal_balance_WEO,external_debt,ext_debt_2,export,dflt,port,dvlp_port,dvlp_wb
Moody's,Argentina,AR,2006,B3,B3 *-,273.7753953,5579,8.363924404,NA,15.28384967,2.936613391,2.726,NA,-0.854,197.5371339,1.19E+11,54040472233,1,NA,0,0
Moody's,Argentina,AR,2007,B3,B3 *-,310.7363142,6632,8.002890988,NA,17.63825996,2.230202872,2.044,NA,-1.664,182.2697857,1.21E+11,65424995988,1,3.201289819,0,0
Moody's,Argentina,AR,2008,B3,B3 *-,1475.198359,8287,3.102113255,NA,21.2137227,1.663989623,1.484,NA,-0.686,159.9215265,1.23E+11,80820889384,1,3.332217054,0,0
Moody's,Argentina,AR,2009,B3,B3 *-,2275.943404,10101,0.050512782,NA,9.884504608,2.202812157,2.002,NA,-2.927,185.2926428,1.28E+11,65841793902,1,3.640289711,1,0
Moody's,Argentina,AR,2010,B3,B3 *-,889.6198046,9282,9.136242015,NA,17.51368529,0.293842906,-0.257,NA,-1.08,156.8469848,1.21E+11,80970635288,1,3.761539394,1,0
Moody's,Argentina,AR,2011,B3,B3 *-,747.9988654,11227,8.554912749,NA,17.20458279,-0.407185004,-0.739,NA,-2.773,142.1485831,1.33E+11,99191984115,1,3.7,1,0
Moody's,Argentina,AR,2012,B3,B3 *-,1210.736743,13453,0.946197195,NA,18.05514097,-0.193450322,-0.205,NA,-3.171,153.4768137,1.33E+11,95291266810,1,3.6,1,1
Moody's,Austria,AT,2006,Aaa,NA,3.687741935,41260,3.350830691,1.449618451,1.908636114,2.704844535,2.78,-1.540280999,-1.675,353.094494,NA,1.70E+11,0,NA,0,1
Moody's,Austria,AT,2007,Aaa,NA,4.128938053,44170,3.621508774,2.168599053,2.251989673,3.41308048,3.512,-1.077961151,-0.994,376.9293575,NA,2.03E+11,0,4.97,1,1
Moody's,Austria,AT,2008,Aaa,NA,41.42898953,48700,1.547264177,3.21592066,1.818815609,4.706724283,4.837,-1.055655768,-1.004,387.5849261,NA,2.27E+11,0,5.006297287,1,1
Moody's,Austria,AT,2009,Aaa,NA,111.9064828,48580,-3.79907623,0.506312509,1.90451259,2.588457679,2.675,-3.013948576,-4.124,466.2657663,NA,1.78E+11,0,4.982399519,1,1
Moody's,Austria,AT,2010,Aaa,NA,80.0072682,49180,1.880094681,1.813535031,0.905061278,3.37455234,3.475,-3.171186629,-4.498,407.6492626,NA,1.98E+11,0,4.782696232,1,1
Moody's,Austria,AT,2011,Aaa,NA,113.5996926,50330,3.071427225,3.266938912,1.790886506,1.5404626,1.588,-2.098848371,-2.44,368.9156303,NA,2.30E+11,0,4.7,1,1
Moody's,Austria,AT,2012,Aaa,NA,129.5845747,50310,0.88384532,2.485675087,1.86572924,2.325646161,2.402,-2.361818933,-2.579,370.7255522,NA,2.18E+11,0,4.9,1,1
Moody's,Australia,AU,2008,Aaa,Aa2 ,77.40263158,42380,3.702292955,4.352643242,4.537413804,-4.94029415,-4.868,1.906278057,-1.131,418.1133667,NA,2.08E+11,0,4.771889101,1,1
Moody's,Australia,AU,2009,Aaa,Aa2 ,81.069152,44000,1.731817915,1.82011224,4.941807478,-5.278990677,-4.611,-2.434673954,-4.601,441.1748813,NA,2.09E+11,0,4.6486865,1,1
Moody's,Australia,AU,2010,Aaa,Aa2 ,48.58768199,46490,1.962366101,2.845225682,1.010708309,-3.917945258,-3.572,-4.034491834,-5.106,494.15663,NA,2.22E+11,0,4.861004837,1,1
Moody's,Australia,AU,2011,Aaa,Aa2 ,66.01788846,50060,2.321478902,3.389339513,6.18928466,-3.207682291,-2.989,-3.677554311,-4.465,435.5807854,NA,2.94E+11,0,5.1,1,1
Moody's,Australia,AU,2012,Aaa,Aa2 ,67.26814559,59770,3.727818428,1.762780156,1.895462979,-4.432116288,-4.36,-3.038114874,-3.491,413.3806812,NA,3.27E+11,0,5.1,1,1
Moody's,Belgium,BE,2006,Aa1,NA,3.549741667,39890,2.63034348,1.79094071,2.515788467,1.837234398,1.86,0.191649589,0.311,343.4843719,NA,3.11E+11,0,NA,0,1
