agency,country,iso2c,year,ratings,ratings_prior,lag_cds,lag_GNIpercap,ma_GDPgrowth,inflation_cpi,inflation_def,lag_currentaccount,lag_current_account_WEO,ma_budget,ma_fiscal_balance_WEO,external_debt,ext_debt_2,lag_export,dflt,port,dvlp_port,dvlp_wb
Moody's,Argentina,AR,2006,B3,B3 *-,NA,NA,8.857256871,NA,15.28384967,2.36589098,2.127,NA,-1.564333333,277.384561,1.28186E+11,46595960334,1,NA,0,0
Moody's,Argentina,AR,2007,B3,B3 *-,273.7753953,5579,8.648719424,NA,17.63825996,2.936613391,2.726,NA,-1.325333333,197.5371339,1.19064E+11,54040472233,1,3.201289819,0,0
Moody's,Argentina,AR,2008,B3,B3 *-,310.7363142,6632,7.166854407,NA,21.2137227,2.230202872,2.044,NA,-1.068,182.2697857,1.20989E+11,65424995988,1,3.332217054,0,0
Moody's,Argentina,AR,2009,B3,B3 *-,1475.198359,8287,4.879860357,NA,9.884504608,1.663989623,1.484,NA,-1.759,159.9215265,1.22987E+11,80820889384,1,3.640289711,1,0
Moody's,Argentina,AR,2010,B3,B3 *-,2275.943404,10101,5.07293976,NA,17.51368529,2.202812157,2.002,NA,-1.564333333,185.2926428,1.27743E+11,65841793902,1,3.761539394,1,0
Moody's,Argentina,AR,2011,B3,B3 *-,889.6198046,9282,5.2109452,NA,17.20458279,0.293842906,-0.257,NA,-2.26,156.8469848,1.20791E+11,80970635288,1,3.7,1,0
Moody's,Argentina,AR,2012,B3,B3 *-,747.9988654,11227,4.671966185,NA,18.05514097,-0.407185004,-0.739,NA,-2.341333333,142.1485831,1.32743E+11,99191984115,1,3.6,1,1
Moody's,Austria,AT,2006,Aaa,NA,NA,38500,2.238354354,1.449618451,1.908636114,1.984815902,2.044,-2.699085811,-2.681333333,335.4302251,NA,1.53012E+11,0,NA,0,1
Moody's,Austria,AT,2007,Aaa,NA,3.687741935,41260,2.954691996,2.168599053,2.251989673,2.704844535,2.78,-1.513273372,-1.490333333,353.094494,NA,1.69926E+11,0,4.97,1,1
Moody's,Austria,AT,2008,Aaa,NA,4.128938053,44170,2.665071593,3.21592066,1.818815609,3.41308048,3.512,-1.224632639,-1.224333333,376.9293575,NA,2.02823E+11,0,5.006297287,1,1
Moody's,Austria,AT,2009,Aaa,NA,41.42898953,48700,1.180131853,0.506312509,1.90451259,4.706724283,4.837,-1.715855165,-2.040666667,387.5849261,NA,2.27305E+11,0,4.982399519,1,1
Moody's,Austria,AT,2010,Aaa,NA,111.9064828,48580,0.812447851,1.813535031,0.905061278,2.588457679,2.675,-2.413596991,-3.208666667,466.2657663,NA,1.78493E+11,0,4.782696232,1,1
Moody's,Austria,AT,2011,Aaa,NA,80.0072682,49180,0.674927463,3.266938912,1.790886506,3.37455234,3.475,-2.761327859,-3.687333333,407.6492626,NA,1.97535E+11,0,4.7,1,1
Moody's,Austria,AT,2012,Aaa,NA,113.5996926,50330,0.509072749,2.485675087,1.86572924,1.5404626,1.588,-2.543951311,-3.172333333,368.9156303,NA,2.30269E+11,0,4.9,1,1
