"iso2c","country","year","agency","rating","CDS","GNI_cap","GDP_grw","inf","ext_bal","fsc_bal","ext_dbt","def","dev"
"AR","Argentina",2007,"Moodys",1,273.775395256917,5579,8.85725687084268,11.2765805220676,2.93661339052263,-0.385026301859219,197.53713391023,1,0
"AR","Argentina",2008,"Moodys",1,292.255854716581,6632,8.6487194238411,14.5140883907043,2.23020287224299,-1.32533333333333,182.269785729091,1,0
"AR","Argentina",2009,"Moodys",1,686.570022835507,8287,7.16685440724452,18.0452774416771,1.66398962300661,-1.068,159.921526457606,1,0
"AR","Argentina",2010,"Moodys",1,1353.95935903192,10101,4.87986035710773,16.2454957552862,2.20281215671654,-1.759,185.29264281735,1,0
"AR","Argentina",2011,"Moodys",1,1546.92052250574,9282,5.07293975986468,16.2039708656403,0.293842905653894,-1.56433333333333,156.84698477243,1,0
"AR","Argentina",2012,"Moodys",1,1304.52069127616,11227,5.21094520018028,14.8675908966833,-0.407185004175475,-2.26,142.14858313191,1,1
"AT","Austria",2007,"Moodys",16,3.68774193548387,41260,2.23835435428493,1.93853749357669,2.70484453469586,-2.69908581132649,353.094494042675,0,1
"AT","Austria",2008,"Moodys",16,3.9083399942906,44170,2.95469199568106,1.9743277943805,3.41308047969009,-1.51327337184299,376.929357508122,0,1
"AT","Austria",2009,"Moodys",16,16.415223172459,48700,2.6650715934527,2.27804605492901,4.70672428285057,-1.22463263910245,387.584926064841,0,1
"AT","Austria",2010,"Moodys",16,52.4881367801714,48580,1.18013185305588,1.96361074089015,2.5884576787838,-1.715855164729,466.265766263626,0,1
"AT","Austria",2011,"Moodys",16,77.7809134955502,49180,0.812447850593343,1.84525606689627,3.37455234005863,-2.4135969907535,407.649262560284,0,1
"AT","Austria",2012,"Moodys",16,101.83781452162,50330,0.674927463420168,1.86226215063949,1.54046259953127,-2.76132785856203,368.915630291632,0,1
"AU","Australia",2009,"Moodys",16,77.4026315789474,42380,3.4173929921794,3.40783069871835,-4.94029415027016,1.75420069789359,418.113366749447,0,1
"AU","Australia",2010,"Moodys",16,79.2358917894737,44000,3.04623063727471,2.83503899927396,-5.27899067709773,0.367306964319687,441.174881295142,0,1
"AU","Australia",2011,"Moodys",16,69.0198218570949,46490,2.78915526812516,3.00599372110014,-3.91794525805502,-1.52096257698364,494.156629997151,0,1
"AU","Australia",2012,"Moodys",16,65.2249074846252,50060,2.42948896828108,2.68489247836477,-3.20768229051707,-3.38224003283289,435.580785431894,0,1
"BE","Belgium",2007,"Moodys",15,3.54974166666667,39890,2.21216950168941,2.22239430222056,1.83723439771763,-0.90433681278801,343.484371949505,0,1
"BE","Belgium",2008,"Moodys",15,4.15914298523207,42630,2.73977737364156,2.13279772442122,1.49090570402712,-1.03604074288593,374.887742557386,0,1
"BE","Belgium",2009,"Moodys",15,14.7712907257869,46530,2.11948235276694,2.70108660840596,-1.36694605884239,-0.543119097053555,426.240466138434,0,1
"BE","Belgium",2010,"Moodys",15,36.647149506119,45980,0.991346855946142,2.0863891485843,-0.594757387830649,-2.22105903343433,454.704920589738,0,1
"BE","Belgium",2011,"Moodys",13,72.2791762452108,47200,0.959031078345952,2.20842584464834,1.74813141735693,-3.04742450114369,368.254907994175,0,1
"BE","Belgium",2012,"Moodys",13,133.526806483938,47130,0.618514312782822,1.88907633017584,-1.03426153202295,-3.78521617483518,336.033322287665,0,1
"BG","Bulgaria",2007,"Moodys",7,33.1981550387597,4150,6.08564408321021,6.21552999672635,-17.4243525082199,2.63434443652872,146.579985428391,1,0
"BG","Bulgaria",2008,"Moodys",7,31.153848673226,4720,6.47319624298284,6.90098120009853,-26.2108365223269,3.19513603875011,149.577971668613,1,0
"BG","Bulgaria",2009,"Moodys",7,101.425909411494,5940,6.27194304839861,9.33762405038196,-22.2733238901293,3.12824580775554,178.836626933339,1,0
"BG","Bulgaria",2010,"Moodys",7,211.688618349668,6420,3.53013632085263,7.83481044175338,-8.48526564920202,2.03905560847893,241.308991985613,1,0
"BG","Bulgaria",2011,"Moodys",8,289.438958252272,6630,2.07636798232426,5.84697839230188,-1.63621625983186,-0.166550962859223,185.679381798101,1,0
"BG","Bulgaria",2012,"Moodys",8,302.820006930621,6870,0.845023176995335,3.13735551925969,0.237899557679416,-1.81072720778919,143.580866450583,1,0
"BR","Brazil",2007,"Moodys",6,143.709251968504,4800,3.49310840939782,5.88338498634467,1.25091981330949,-2.77811623768649,119.519000875292,1,0
"BR","Brazil",2008,"Moodys",6,117.157849922476,6100,4.73028488750541,4.89601934849827,0.113459018722247,-2.78333959032843,126.732959018421,1,0
"BR","Brazil",2009,"Moodys",7,141.679704019564,7480,4.5941304121489,4.4946023281845,-1.70498202006024,-1.98820615916067,116.633107729739,1,0
"BR","Brazil",2010,"Moodys",7,165.017035100305,8140,3.72298030515137,4.728844965775,-1.50017229195926,-2.18313567547949,153.333394253966,1,0
"BR","Brazil",2011,"Moodys",8,175.820367289637,9520,4.61753035104798,5.19594130327783,-2.20586115213324,-2.11577569149842,138.206056584071,1,0
"BR","Brazil",2012,"Moodys",8,157.059106808134,10700,3.77679391767081,5.52030801581263,-2.11895821169684,-2.57362015303776,133.974785309702,1,0
"CH","Switzerland",2010,"Moodys",16,72.5692115384615,70230,2.07518886897404,0.892897847850037,6.70344014616251,0.61694434941655,402.557102010322,0,1
"CH","Switzerland",2011,"Moodys",16,61.4056425339366,77360,1.81044667756904,0.881522412390007,13.0579281322969,0.473209351299607,348.132796988,0,1
"CL","Chile",2007,"Moodys",11,23.2259806949807,7260,4.99056511044567,9.27988676772321,4.62546883462343,4.55474157118808,72.7669323842393,1,0
"CL","Chile",2008,"Moodys",11,21.8556525096525,8630,5.29158439004676,8.40191808183609,4.31093878282284,6.66188193059071,66.9570422259643,1,0
"CL","Chile",2009,"Moodys",12,51.22756937336,10030,4.60442642735028,6.04215164166047,-1.83878769023376,6.71967934339641,83.1011375027472,1,0
"CL","Chile",2010,"Moodys",13,92.3972067151354,9940,2.95545556065077,3.05300863435806,2.0413774106557,2.87780578634889,102.495968497057,1,0
"CL","Chile",2011,"Moodys",13,114.071052630016,10730,3.29495527996766,1.40996475088124,1.64653002037549,-0.0469759295097802,95.0212567291652,1,1
"CL","Chile",2012,"Moodys",13,109.295808006681,12290,3.46448264658014,2.37514137950811,-1.2222936531978,-1.12037656831992,98.3718342630469,1,1
"CN","China",2007,"Moodys",12,20.9377653846154,2040,11.02424702493,2.38967314174246,8.54578684943823,-1.349,0.302156835663961,0,0
"CN","China",2008,"Moodys",12,19.91339825651,2470,12.0585010749118,2.67837780721036,10.1081094821117,-0.823666666666667,0.276950061573314,0,0
"CN","China",2009,"Moodys",12,44.5773689526159,3050,11.9459081500102,4.0259564624809,9.30086389400294,-0.364333333333333,0.23916362677387,0,0
"CN","China",2010,"Moodys",13,77.6958417937594,3610,11.4219490748967,3.30391040257185,4.87466165833564,-0.579666666666667,0.334491007836222,0,0
"CN","China",2011,"Moodys",13,96.8201111111111,4240,10.864562784967,2.8253268383035,4.00994703585957,-1.01066666666667,0.321042319203906,0,0
