agency,country,iso2c,year,ratings
Moody's,Argentina,AR,2006,B3
Moody's,Argentina,AR,2007,B3
Moody's,Argentina,AR,2008,B3
Moody's,Argentina,AR,2009,B3
Moody's,Argentina,AR,2010,B3
Moody's,Argentina,AR,2011,B3
Moody's,Argentina,AR,2012,B3
Moody's,Austria,AT,2006,Aaa
Moody's,Austria,AT,2007,Aaa
Moody's,Austria,AT,2008,Aaa
Moody's,Austria,AT,2009,Aaa
Moody's,Austria,AT,2010,Aaa
Moody's,Austria,AT,2011,Aaa
Moody's,Austria,AT,2012,Aaa
Moody's,Australia,AU,2008,Aaa
Moody's,Australia,AU,2009,Aaa
Moody's,Australia,AU,2010,Aaa
Moody's,Australia,AU,2011,Aaa
Moody's,Australia,AU,2012,Aaa
Moody's,Belgium,BE,2006,Aa1
Moody's,Belgium,BE,2007,Aa1
Moody's,Belgium,BE,2008,Aa1
Moody's,Belgium,BE,2009,Aa1
Moody's,Belgium,BE,2010,Aa1
Moody's,Belgium,BE,2011,Aa3
Moody's,Belgium,BE,2012,Aa3
Moody's,Bulgaria,BG,2006,Baa3
Moody's,Bulgaria,BG,2007,Baa3
Moody's,Bulgaria,BG,2008,Baa3
Moody's,Bulgaria,BG,2009,Baa3
Moody's,Bulgaria,BG,2010,Baa3
Moody's,Bulgaria,BG,2011,Baa2
Moody's,Bulgaria,BG,2012,Baa2
Moody's,Bahrain,BH,2009,A2
Moody's,Bahrain,BH,2010,A3
Moody's,Brazil,BR,2006,Ba2
Moody's,Brazil,BR,2007,Ba1
Moody's,Brazil,BR,2008,Ba1
Moody's,Brazil,BR,2009,Baa3
Moody's,Brazil,BR,2010,Baa3
Moody's,Brazil,BR,2011,Baa2
Moody's,Brazil,BR,2012,Baa2
Moody's,Switzerland,CH,2009,Aaa
Moody's,Switzerland,CH,2010,Aaa
Moody's,Switzerland,CH,2011,Aaa
Moody's,Chile,CL,2006,A2
Moody's,Chile,CL,2007,A2
Moody's,Chile,CL,2008,A2
Moody's,Chile,CL,2009,A1
Moody's,Chile,CL,2010,Aa3
Moody's,Chile,CL,2011,Aa3
Moody's,Chile,CL,2012,Aa3
Moody's,China,CN,2006,A2
Moody's,China,CN,2007,A1
Moody's,China,CN,2008,A1
Moody's,China,CN,2009,A1
Moody's,China,CN,2010,Aa3
Moody's,China,CN,2011,Aa3
Moody's,China,CN,2012,Aa3
Moody's,Colombia,CO,2006,Ba2
Moody's,Colombia,CO,2007,Ba2
Moody's,Colombia,CO,2008,Ba2
Moody's,Colombia,CO,2009,Ba2
Moody's,Colombia,CO,2010,Ba2
Moody's,Colombia,CO,2011,Baa3
Moody's,Colombia,CO,2012,Baa3
Moody's,Cyprus,CY,2008,Aa3
Moody's,Cyprus,CY,2009,Aa3
Moody's,Cyprus,CY,2010,Aa3
Moody's,Cyprus,CY,2011,Baa1
Moody's,Cyprus,CY,2012,Ba1
Moody's,Czech Republic,CZ,2006,A1
Moody's,Czech Republic,CZ,2007,A1
Moody's,Czech Republic,CZ,2008,A1
Moody's,Czech Republic,CZ,2009,A1
Moody's,Czech Republic,CZ,2010,A1
Moody's,Czech Republic,CZ,2011,A1
Moody's,Czech Republic,CZ,2012,A1
Moody's,Germany,DE,2006,Aaa
Moody's,Germany,DE,2007,Aaa
Moody's,Germany,DE,2008,Aaa
Moody's,Germany,DE,2009,Aaa
Moody's,Germany,DE,2010,Aaa
Moody's,Germany,DE,2011,Aaa
Moody's,Germany,DE,2012,Aaa
Moody's,Denmark,DK,2008,Aaa
Moody's,Denmark,DK,2009,Aaa
Moody's,Denmark,DK,2010,Aaa
Moody's,Denmark,DK,2011,Aaa
Moody's,Denmark,DK,2012,Aaa
Moody's,Estonia,EE,2006,Baa1
Moody's,Estonia,EE,2007,WR
Moody's,Estonia,EE,2008,WR
Moody's,Estonia,EE,2009,WR
Moody's,Estonia,EE,2010,WR
Moody's,Estonia,EE,2011,WR
Moody's,Estonia,EE,2012,WR
Moody's,"Egypt, Arab Rep.",EG,2006,Ba1
Moody's,"Egypt, Arab Rep.",EG,2007,Ba1
Moody's,"Egypt, Arab Rep.",EG,2008,Ba1
Moody's,"Egypt, Arab Rep.",EG,2009,Ba1
Moody's,"Egypt, Arab Rep.",EG,2010,Ba1
Moody's,Finland,FI,2007,Aaa
Moody's,Finland,FI,2008,Aaa
Moody's,Finland,FI,2009,Aaa
Moody's,Finland,FI,2010,Aaa
Moody's,Finland,FI,2011,Aaa
Moody's,Finland,FI,2012,Aaa
Moody's,France,FR,2006,Aaa
Moody's,France,FR,2007,Aaa
Moody's,France,FR,2008,Aaa
Moody's,France,FR,2009,Aaa
Moody's,France,FR,2010,Aaa
Moody's,France,FR,2011,Aaa
Moody's,France,FR,2012,Aa1
Moody's,United Kingdom,GB,2008,Aaa
Moody's,United Kingdom,GB,2009,Aaa
Moody's,United Kingdom,GB,2010,Aaa
Moody's,United Kingdom,GB,2011,Aaa
Moody's,United Kingdom,GB,2012,Aaa
Moody's,Greece,GR,2006,A1
Moody's,Greece,GR,2007,A1
Moody's,Greece,GR,2008,A1
Moody's,Greece,GR,2009,A2
Moody's,Greece,GR,2010,Ba1
Moody's,Greece,GR,2011,Ca
Moody's,"Hong Kong SAR, China",HK,2006,Aa3
Moody's,"Hong Kong SAR, China",HK,2009,Aa2
Moody's,"Hong Kong SAR, China",HK,2010,Aa1
Moody's,"Hong Kong SAR, China",HK,2011,Aa1
Moody's,Croatia,HR,2006,Baa3
Moody's,Croatia,HR,2007,Baa3
Moody's,Croatia,HR,2008,Baa3
Moody's,Croatia,HR,2009,Baa3
Moody's,Croatia,HR,2010,Baa3
Moody's,Croatia,HR,2011,Baa3
Moody's,Croatia,HR,2012,Baa3
Moody's,Hungary,HU,2006,A2
Moody's,Hungary,HU,2007,A2
Moody's,Hungary,HU,2008,A3
Moody's,Hungary,HU,2009,Baa1
Moody's,Hungary,HU,2010,Baa3
Moody's,Hungary,HU,2011,Ba1
Moody's,Hungary,HU,2012,Ba1
Moody's,Indonesia,ID,2006,B1
Moody's,Indonesia,ID,2007,Ba3
Moody's,Indonesia,ID,2008,Ba3
Moody's,Indonesia,ID,2009,Ba2
Moody's,Indonesia,ID,2010,Ba2
Moody's,Indonesia,ID,2011,Ba1
Moody's,Indonesia,ID,2012,Baa3
Moody's,Ireland,IE,2007,Aaa
Moody's,Ireland,IE,2009,Aa1
Moody's,Ireland,IE,2010,Baa1
Moody's,Ireland,IE,2011,Ba1
Moody's,Ireland,IE,2012,Ba1
Moody's,Israel,IL,2006,A2
Moody's,Israel,IL,2007,A2
Moody's,Israel,IL,2008,A1
Moody's,Israel,IL,2009,A1
Moody's,Israel,IL,2010,A1
Moody's,Israel,IL,2011,A1
Moody's,Israel,IL,2012,A1
Moody's,Iraq,IQ,2007,NA
Moody's,Iraq,IQ,2009,NA
Moody's,Italy,IT,2006,Aa2
Moody's,Italy,IT,2007,Aa2
Moody's,Italy,IT,2008,Aa2
Moody's,Italy,IT,2009,Aa2
Moody's,Italy,IT,2010,Aa2
Moody's,Italy,IT,2011,A2
Moody's,Italy,IT,2012,A3
Moody's,Japan,JP,2006,Aaa
Moody's,Japan,JP,2007,Aaa
Moody's,Japan,JP,2008,Aaa
Moody's,Japan,JP,2009,Aaa
Moody's,Japan,JP,2010,Aaa
Moody's,Japan,JP,2011,Aaa
Moody's,Japan,JP,2012,Aaa
Moody's,"Korea, Rep.",KR,2006,A3
Moody's,"Korea, Rep.",KR,2007,A2
Moody's,"Korea, Rep.",KR,2008,A2
Moody's,"Korea, Rep.",KR,2009,A2
Moody's,"Korea, Rep.",KR,2010,A1
Moody's,"Korea, Rep.",KR,2011,A1
Moody's,"Korea, Rep.",KR,2012,Aa3
Moody's,Kazakhstan,KZ,2006,Baa2
Moody's,Kazakhstan,KZ,2007,WR
Moody's,Kazakhstan,KZ,2008,WR
Moody's,Kazakhstan,KZ,2009,WR
Moody's,Kazakhstan,KZ,2010,WR
Moody's,Kazakhstan,KZ,2011,WR
